zahlungs_id,bestell_id,zahlungsart,zahlungsdatum,zahlungsstatus
1,1,PayPal,2024-07-10,Erfolgreich
2,2,SEPA,2025-01-23,Erfolgreich
3,3,PayPal,2025-11-22,Erfolgreich
4,4,PayPal,2024-11-27,Erfolgreich
5,5,Kreditkarte,2025-01-10,Erfolgreich
6,6,Kreditkarte,2024-10-08,Fehlgeschlagen
7,7,SEPA,2024-04-05,Fehlgeschlagen
8,8,Sofortüberweisung,2025-06-03,Erfolgreich
9,9,SEPA,2024-06-09,Fehlgeschlagen
10,10,Kreditkarte,2024-11-13,Erfolgreich
11,11,Kreditkarte,2025-05-03,Erfolgreich
12,12,Kreditkarte,2024-07-14,Erfolgreich
13,13,Kreditkarte,2024-08-19,Erfolgreich
14,14,Kreditkarte,2026-01-04,Erfolgreich
15,15,Kreditkarte,2025-05-07,Fehlgeschlagen
16,16,Kreditkarte,2025-12-24,Fehlgeschlagen
17,17,Sofortüberweisung,2024-12-04,Erfolgreich
18,18,SEPA,2025-09-12,Fehlgeschlagen
19,19,Sofortüberweisung,2025-12-28,Erfolgreich
20,20,PayPal,2025-09-01,Erfolgreich
21,21,Kreditkarte,2025-10-12,Erfolgreich
22,22,PayPal,2024-10-22,Erfolgreich
23,23,PayPal,2024-08-22,Fehlgeschlagen
24,24,SEPA,2025-05-14,Fehlgeschlagen
25,25,PayPal,2024-08-27,Erfolgreich
26,26,PayPal,2024-08-25,Erfolgreich
27,27,Sofortüberweisung,2025-01-08,Erfolgreich
28,28,PayPal,2024-07-22,Erfolgreich
29,29,PayPal,2025-10-22,Erfolgreich
30,30,PayPal,2026-02-09,Fehlgeschlagen
31,31,SEPA,2025-11-09,Erfolgreich
32,32,SEPA,2026-01-22,Fehlgeschlagen
33,33,SEPA,2025-05-31,Erfolgreich
34,34,Sofortüberweisung,2025-08-14,Fehlgeschlagen
35,35,Sofortüberweisung,2024-08-22,Erfolgreich
36,36,PayPal,2024-08-20,Erfolgreich
37,37,Kreditkarte,2025-04-28,Erfolgreich
38,38,Sofortüberweisung,2024-12-19,Erfolgreich
39,39,PayPal,2024-07-11,Fehlgeschlagen
